"id","service","cost","city","country","name","email","subscribedAtDate"
"87dc3c277a51456d","cafeteria.io",100,"Valencia","Spain","Pedro Gracia","Pedro58@softix.com","2017-09-01"
"cb271383febe4944","healthcare",200,"Madrid","Spain","Raúl Puente","rapu@softix.com","2018-10-01"
"12e1ae9638254586","cafeteria.io",100,"Valencia","Spain","Enrique Esquivel","Enrique_Esquivel@softix.es","2018-05-01"
"045981f168b5415e","healthcare",200,"Getafe","Spain","Salvador Navarro","sana@softix.com","2018-09-01"
"0a94a028f1d24131","healthcare",200,"Granada","Spain","Gregorio Puente","grpu@softix.com","2018-12-01"
"2b274f45010b4fb9","cafeteria.io",100,"Madrid","Spain","María Marín","Mara_Marn96@softix.com","2017-10-01"
"34aaee056d2c494e","healthcare",200,"Granada","Spain","Berta Morales","bemo@softix.com","2017-05-01"
"b977321196114f4e","cafeteria.io",100,"Getafe","Spain","Jorge Luis Pelayo","jope@softix.com","2018-04-01"
"f97317f2f2de466e","healthcare",200,"Getafe","Spain","Lucia Montemayor","lumo@softix.com","2019-05-01"
"8f3894088a504e5f","healthcare",200,"Valencia","Spain","Pedro Gracia","Pedro58@softix.com","2018-11-01"
"439906796a5743f9","healthcare",200,"Getafe","Spain","Rosario Casas","roca@softix.com","2015-03-01"
"a9d2f0a98d2d4f6d","healthcare",200,"Granada","Spain","Julia Rendón","jure@softix.com","2019-03-01"
"fa9ad69a84674623","cafeteria.io",100,"Granada","Spain","Rocio Saldivar","rosa@softix.es","2014-11-01"
"810d2a9c52c24e6d","healthcare",200,"Madrid","Spain","Clemente Páez","Clemente.Pez@softix.com","2019-04-01"
"fda2c8a7a67c4cbc","healthcare",200,"Madrid","Spain","María Marín","Mara_Marn96@softix.com","2018-08-01"
"d6709af5db8a404e","healthcare",200,"Granada","Spain","Rocio Saldivar","rosa@softix.es","2018-11-01"
"59d623e7939b4fad","cafeteria.io",100,"Getafe","Spain","Lucia Montemayor","lumo@softix.com","2019-01-01"
"1a1dc3864ed34c63","cafeteria.io",100,"Granada","Spain","Eloisa Polanco","Eloisa_Polanco39@softix.com","2019-08-01"
"e474fc02880b4a0e","cafeteria.io",100,"Valencia","Spain","Elisa Aragón","elar@softix.es","2018-01-01"
"14ebc8f09c244def","healthcare",200,"Getafe","Spain","Horacio Navarrete","Horacio_Navarrete@softix.com","2018-08-01"
"41132eb4abe04fa4","healthcare",200,"Getafe","Spain","Benito Valentín","Benito_Valentn99@softix.com","2019-02-01"
"ff581a9846974af0","healthcare",200,"Valencia","Spain","Hugo Pedraza","Hugo.Pedraza25@softix.es","2019-08-01"
"4ac29b9405d749de","cafeteria.io",100,"Madrid","Spain","Ana María Cintrón","anci@softix.com","2017-12-01"
"e73db2bf18614e20","cafeteria.io",100,"Madrid","Spain","Cecilia Lira","celi@softix.es","2018-10-01"
