"id","service","cost","city","country","name","email","subscribedAtDate"
"2ed609ae96904f05","lunch-card",250,"Łódź","Poland","Arystarch Jakubiak","Arystarch.Jakubiak97@softix.com","2015-06-01"
"099610a7cd034dd3","lunch-card",250,"Szczecin","Poland","Teodora Witczak","tewi@softix.com","2016-12-01"
"efdfe9b2bfe34e7f","lunch-card",250,"Gdańsk","Poland","Włodzimierz Piłat","włpi@softix.pl","2017-06-01"
"d6117b026a794c13","lunch-card",250,"Wrocław","Poland","Renata Kowalewski","reko@softix.pl","2017-01-01"
"b7f9f306d8ec40c3","lunch-card",250,"Łódź","Poland","Natanael Romanowski","naro@softix.pl","2018-11-01"
"00336900d988491e","lunch-card",250,"Szczecin","Poland","Anna Buczkowski","anbu@softix.com","2018-08-01"
"2d54a79d903748a2","healthcare",200,"Łódź","Poland","Maja Madej","mama@softix.pl","2017-10-01"
"b74eb2050ca94b56","healthcare",200,"Gdańsk","Poland","Rajnold Jezierski","Rajnold32@softix.com","2018-08-01"
"456432ee492e4c65","healthcare",200,"Łódź","Poland","Gerald Piechota","Gerald48@softix.com","2018-11-01"
"7bda41e59d114e8d","healthcare",200,"Łódź","Poland","Julita Marszałek","juma@softix.com","2019-03-01"
"47a85a77b8dc41ce","healthcare",200,"Łódź","Poland","Wilhelm Jasiński","wija@softix.pl","2015-10-01"
"2036e4606a29441f","healthcare",200,"Lublin","Poland","Gertruda Pytel","gepy@softix.pl","2017-12-01"
"4fe74104afdb447c","lunch-card",250,"Kraków","Poland","Fabian Nawrocki","fana@softix.pl","2019-05-01"
"4f1f038959b14018","healthcare",200,"Wrocław","Poland","Erwin Panek","Erwin.Panek76@softix.com","2019-07-01"
"1c6be684456a4406","lunch-card",250,"Łódź","Poland","Julita Marszałek","juma@softix.com","2019-09-01"
"aad9bc26f6c94261","lunch-card",250,"Łódź","Poland","Wanesa Wolny","wawo@softix.com","2018-11-01"
"0ffd15d802b145d5","healthcare",200,"Łódź","Poland","Krystyna Łuczak","Krystyna.uczak@softix.com","2018-03-01"
"31dd182af85b4c07","lunch-card",250,"Gdańsk","Poland","Rebeka Zieliński","Rebeka_Zieliski11@softix.com","2018-10-01"
"3ecd023d898e447f","healthcare",200,"Łódź","Poland","Mateusz Mika","Mateusz.Mika@softix.com","2017-06-01"
"5cee6062aafd4dc2","lunch-card",250,"Wrocław","Poland","Eliasz Jezierski","elje@softix.com","2019-02-01"
"42442142603f4d4a","lunch-card",250,"Łódź","Poland","Ewa Milewski","ewmi@softix.com","2018-10-01"
"464c7a95b91d446a","healthcare",200,"Lublin","Poland","Łukasz Dębowski","ukasz_Dbowski@softix.com","2019-08-01"
"b22f569fe801477e","lunch-card",250,"Kraków","Poland","Elwira Cieśla","Elwira7@softix.pl","2015-04-01"
"819deb41b1be4e8b","healthcare",200,"Łódź","Poland","Janusz Misiak","jami@softix.pl","2016-10-01"
"259ca5b89a044820","lunch-card",250,"Łódź","Poland","Józefina Piórkowski","Jzefina.Pirkowski43@softix.pl","2014-11-01"
"57574c23a8a34a05","lunch-card",250,"Łódź","Poland","Rebeka Banasiak","Rebeka_Banasiak@softix.com","2019-02-01"
"238f4eb5e52242ec","lunch-card",250,"Lublin","Poland","Hubert Gwóźdź","Hubert77@softix.com","2018-12-01"
"da1dfa8b49404d10","lunch-card",250,"Łódź","Poland","Ferdynanda Grzybowski","fegr@softix.com","2018-10-01"
"4f1714b1a6ec4780","healthcare",200,"Lublin","Poland","Olaf Markowski","olma@softix.com","2017-05-01"
"2ee7575ff64d44f6","healthcare",200,"Gdańsk","Poland","Cyryl Musiał","cymu@softix.com","2017-02-01"
"4d802637cffb465d","healthcare",200,"Warszawa","Poland","Chloe Wolny","chwo@softix.pl","2018-08-01"
"40744e0e63b64ff0","healthcare",200,"Warszawa","Poland","Albert Izdebski","aliz@softix.pl","2018-02-01"
"f5aa80eaabaf4af0","healthcare",200,"Kraków","Poland","Platon Jurkiewicz","Platon.Jurkiewicz@softix.pl","2019-08-01"
"adcd55bb32624c23","healthcare",200,"Łódź","Poland","Rebeka Banasiak","Rebeka_Banasiak@softix.com","2019-08-01"
"bbd66fbd94a642b2","lunch-card",250,"Łódź","Poland","Nazary Madej","Nazary_Madej0@softix.pl","2015-05-01"
"78b769c144164ddd","healthcare",200,"Gdańsk","Poland","Gwido Noga","Gwido.Noga@softix.com","2018-12-01"
"38871cf5d1114c68","lunch-card",250,"Łódź","Poland","Joanna Matysiak","Joanna.Matysiak@softix.pl","2019-05-01"
"2c3fac33f9dd405c","healthcare",200,"Szczecin","Poland","Michał Mróz","mimr@softix.pl","2018-05-01"
"0dceaffb6876485a","healthcare",200,"Lublin","Poland","Eliasz Cichoń","elci@softix.com","2015-10-01"
"92ef9cba6ac44927","healthcare",200,"Warszawa","Poland","Oleg Skowroński","Oleg_Skowroski@softix.pl","2016-03-01"
"6c46d74660cb453a","healthcare",200,"Łódź","Poland","Helena Wysocki","Helena_Wysocki4@softix.pl","2018-05-01"
"c9e7bc8812fe4ff6","lunch-card",250,"Lublin","Poland","Leon Sowiński","Leon.Sowiski@softix.pl","2019-08-01"
"2dda5810888a40c0","healthcare",200,"Warszawa","Poland","Karolina Korzeniowski","kako@softix.pl","2016-03-01"
"75afd6f2f54d4839","lunch-card",250,"Łódź","Poland","Arnold Szewczyk","Arnold12@softix.com","2015-11-01"
"f5fc43bcabdd404e","healthcare",200,"Warszawa","Poland","Rufina Kołodziejczyk","ruko@softix.pl","2018-09-01"
"7343ae43dd724737","lunch-card",250,"Gdańsk","Poland","Horacy Pasternak","Horacy_Pasternak63@softix.com","2016-06-01"
"8c8f66e9ae5149b5","healthcare",200,"Gdańsk","Poland","Igor Orzechowski","Igor.Orzechowski31@softix.pl","2019-08-01"
"e42f3c8729584ad8","lunch-card",250,"Kraków","Poland","Roman Wyszyński","Roman_Wyszyski64@softix.com","2019-02-01"
"6c970ed325a84281","healthcare",200,"Szczecin","Poland","Rachela Marszałek","rama@softix.pl","2016-03-01"
"5f108039a6524c84","healthcare",200,"Lublin","Poland","Hubert Kuchta","Hubert.Kuchta96@softix.pl","2017-05-01"
"d58f8a70901e4907","healthcare",200,"Łódź","Poland","Estera Niedzielski","Estera.Niedzielski16@softix.com","2019-06-01"
